TITLE,COMPANY,LOCATION,SALARY,JOBTYPE,BODY,LINK
Firmware Engineer,Avestec Technologies Inc,"Burnaby, BC",, ,"We at Avestec are pioneering the future of aerial robotics to provide a quicker and safer alternative for industrial inspection. We are searching for a Firmware Developer to help us with the development of our robotic inspection products. The successful candidate will be responsible for developing firmware to integrate new devices onto our aerial robots and ensure the complete system functions as intended.Required Qualifications:- Pursuing or completed a degree in related Engineering- Experience developing within a Linux environment using the command-line- Experience using version control (e.g. Git, Bitbucket)- Highly proficient in C programming- Understanding of MCU peripherals (e.g. timers, I2C, UART, SPI)- Understanding of RTOS concepts (e.g. task scheduling, inter-task communication)- Experience working with embedded-Linux devices (e.g. Raspberry Pi, Jetson Nano)- Experience working with wireless communication modules (e.g. WiFi, sub-GHz)- Able to use a multimeter and oscilloscope for debugging- Writing documentation- Able to work full-timeDesirable Skills and Experience:- Experience with STM32 ARM Cortex-M microcontroller- Familiar with robotic control, motor control, PID and algorithm development- Familiar with Python programmingJob Type: Full-timeFlexible Language Requirement: French not requiredSchedule: 8 hour shiftAbility to commute/relocate: Burnaby, BC: reliably commute or plan to relocate before starting work (required)Application question(s): Please advise your current residence city AND status in Canada (PR/Citizen/Work Permit)Work Location: One location",https://ca.indeed.com/viewjob?cmp=Avestec-Technologies-Inc&t=Firmware+Engineer&jk=a7b9b6984ecf391e&vjs=3
Embedded Software Developer,Fortinet ,"Burnaby, BC",, ," Fortinet is looking for C Developers with a passion to improve and expand the rich feature set of our FortiGate firewall. You will join a dedicated team that is creating a compelling and innovative Unified Threat Management feature set (Anti-Virus, Web Filter, Data Leak Prevention and Anti-Spam). You love tackling challenging problems and take pride in writing clean, well thought-out code. You use and create tools that improve development processes, allowing you to focus on development. Most of all, you are driven to learn and grow - making your work rewarding and FortiGate the best it can be for our users.  Job Responsibilities:  As a software developer at Fortinet, you will:    Implement and maintain software that drives our UTM feature set   Stay on top of new developments in application-layer protocols and software development and suggest improvements within the team   Promote best practices within the team and organization   Provide product improvement suggestions while using Fortinet firewalls on a daily basis   Research, investigate and define new areas of technology to enhance existing product or new product directions; re-evaluate the design and implementation of current source code   Job Skills Required:    2+ years of C/C++ experience   Capable of switching focus in various situations and applying themselves to quickly learning new technologies and adopting new methodologies   Excellent problem solving and troubleshooting skills   Experience developing software in a Linux or UNIX-like environment   Experience with TCP/IP, firewalls, application-layer network software   The ideal candidate has good knowledge of TCP/IP, POSIX APIs, and has a strong grasp of sockets.   Experience using source control software (SVN, git or others)   Assets:    Understanding of networking and security concepts   Experience with scripting is a plus (shell, Python, Perl)   Basic understanding of Linux or UNIX-like server/system management   Educational Requirements:    Bachelors Degree in Computer Science or equivalent experience   #GD  #LI-LO1",https://ca.indeed.com/viewjob?jk=ca44675a785fb2b6&from=serp&vjs=3
Intermediate Embedded Software Engineer,Progressive Automations ,"Richmond, BC",, ," Progressive Automations is one of the top manufacturers and distributors of linear actuators and home/office automation (see Progressive Desk and Progressive Bed subsidiary). We have over a decade of experience in the industry and are quickly growing. Our goal is to lead the industry in innovation while bringing you premium quality products at an affordable price. Our creative, energetic, and innovative team has the experience of working together with different customers, from automation enthusiasts, and hobbyists to large-scale partners. We are constantly developing our skills and knowledge of the industry while we also make sure to have a bit of fun in life!      Progressive Automations has a wide range of products for home automation. The Embedded Software Engineer will be responsible for developing a firmware foundation for a smart home ecosystem and working on integration with cutting-edge home automation technology - Matter. The embedded software engineer will be responsible for developing features that will increase the value of our home automation products.     The role will be firmware development focused and could lead to an opportunity to lead the expansion of the firmware development team. The ideal candidate will be a driven, self-starting, and resourceful engineer that is able to understand all facets of a problem and make comprehensive decisions. The ideal candidate must have curiosity and interest in learning new smart home technologies.      Primary Responsibilities:     Firmware development and testing (C/C++)   Work on prototypes   Work on Matter Integration   Work with the Mobile App development team to integrate the control system into Smart Home.   Research of technical documentation      Secondary Responsibilities:     Work with the Marketing team to launch products.   Identity, resolve, and document product issues based on customer feedback, prior product updates, and in-house testing.   Propose procedural improvements to increase efficiency and quality of work.       Required Skills and Experiences:     Minimum 3 years of experience in firmware or software development (preferably C/C++)   Minimum bachelors degree in software/electrical engineering, or a similar field of study.   Experience with communication protocols and standards (UART, BLE, Thread)   Strong communication skills.   High attention to detail and standard for quality.       Additional Assets:     Knowledge of linear actuators and motor controls.   Knowledge of Matter smart home standard.   App development.   Project management software: Asana.       Reasons youll love working here:     Rapidly growing company   Competitive salary   Extended health and dental benefits   Electric sit-stand desks for every employee   Personal laptop and suite of ergonomic accessories   Product giveaways   Quarterly company events   Monthly free lunch   Product discounts       Visit our websites to learn more about us:     Progressive Automations - Video   www.progressiveautomations.com   www.progressivedesk.com   www.progressivebed.com   Progressive Automations - YouTube    We thank all applicants for their interest. However, only those selected for an interview will be contacted.",https://ca.indeed.com/viewjob?jk=4a3d1a7d39eb653c&q=embedded&l=Coquitlam%2C+BC&from=web&advn=8401538608565562&adid=406153521&ad=-6NYlbfkN0AedwU2s7L1XjMxitV7Xf3eiMMLaJPPh92RptfCMo163xiSbIB34wdjmGsiYHx3RVLejcyWlmZWqsQV6eqjtcwK2lHt6tsrgmgyLFehyaIR0rg1_Ookvcv0OcpVR_5fdzCirUEKVCYAo0ZBr9FeICc2noegQmn84x10AOB5dRq-_cCJtjffXXCCzHYRQBeEUbNMao6KRnAISFj198LDkw-7pfes2b_hRW5zh0lhjSXeCL_3mlO-wFtU1Dd05KKFPotjvYD4HygTq-JsFs3dbRmsUpHdBlyJs1iI-31mS_zRr7t5S6OurknRzpkqEBX2kvHT6bYoRTf5ht-VH_LLebBIqNAMZg6Fpfjb9cyjvpDSlDy4RzAvLlXferryDJShXZFfuSP8ZQU98eeK1dIGiyMPO0VmJU7PowE%3D&sjdu=vBxngS0Os9SWVxIcBnU5oPSRmJs3p0Gcids7DW7t8RH8HlccJQqzaZYiAcWGz9ECL2_WlVtOdd5pE8ASUxtwvp_wsEkoLlN7jEOzJbYhJy1eFcFl2Kya5OMaRjg-4kS02QOnPpb8XNvUQb9PyXI3CQ&acatk=1gs8pnqu9hanh800&pub=4a1b367933fd867b19b072952f68dceb&xkcb=SoAb-_M3RI7RvywdiR0KbzkdCdPP&vjs=3
Senior /Lead Control Engineer,Novarc Technologies Inc.,"North Vancouver, BC",, ,"Are you excited to lead the innovation of AI and automation in industrial robotics? If the answer is yes, we have an opportunity for you.Our never-before-seen welding cobots require customization and R&D. We are looking for a Senior /Lead Control Engineer to join our growing team and support the development of our cobots.Responsibilities Developing control system designs following systems engineering methodologies PLC programming and Electrical design Design/programming of Human Machine Interfaces (HMI) Troubleshooting of electrical, PLC, and HMI systems Interfacing with real-time database applications to manage critical production information Preparing functional specifications Estimating, planning and executing projects Adhering to all health and safety rules and procedures Performing other duties as assigned by managementQualifications and Experience Minimum of a Bachelor's Degree in Electrical/Controls/Software Engineering Competent skills in C/C++ and/or Python programming in Linux Proven skills in developing motion control embedded software in multithreaded, real-time environments Familiarity with ROS/ROS2 Experience with 6 DoF robotics Experience with PLC programming (ie. ladder logic, structured text, state diagram) Expertise with safety PLCs, safety standards, and risk assessment Strong knowledge of control theory, feedback control, data filtering, and different control strategies such as PID, and MPC Experience with different communication protocols such as EtherCAT, Ethernet/IP, Modbus TCP, CANopen, Devicenet, UDP, etc Applicants must complete an online coding assessment prior to meeting the screenerAbout Novarc Technologies:Novarc Technologies is a Vancouver-based full-stack robotics and AI company specializing in the design and commercialization of cobots and AI systems for robotic welding applications. Novarcs flagship product Spool Welding Robot (SWR) is the worlds first welding cobot and SWR has already won multiple industry awards, been featured in top publications, and generated significant revenue).Our diverse team consists of engineers, developers, technicians, welders, scientists who are designing and building the welding industrys most advanced automation solutions with the passion of helping our customers win.Why Novarc: Growing Opportunities - We are in the process of maturing into a fast-growing medium-sized business. Great place to be - We have created a fun, adventurous, and open-minded environment where our teams are encouraged to bond and expose a little weirdness. Best People - Our team is made up of talented, intelligent, and hardworking people. Lots of Opportunities - We are constantly looking for stand-out talent internally to move into leadership positions.We are excited to invite you to join our growing team for this amazing journey!Job Types: Full-time, PermanentBenefits: Casual dress Company events Dental care Disability insurance Employee assistance program Extended health care Flexible schedule On-site parking Paid time off Wellness programSchedule: Monday to FridaySupplemental pay types: Bonus payAbility to commute/relocate: North Vancouver, BC: reliably commute or plan to relocate before starting work (required)Application question(s): Are you willing to do an online take-home assessment as part of the interview process?Education: Bachelor's Degree (required)Experience: control software: 2 years (required)Work Location: One location",https://ca.indeed.com/viewjob?cmp=Novarc-Technologies-Inc.&t=Senior&jk=61b5e743d466d01c&vjs=3
Design Verification Engineer,AMD ,"Vancouver, BC",, ,"WHAT YOU DO AT AMD CHANGES EVERYTHING  We care deeply about transforming lives with AMD technology to enrich our industry, our communities, and the world. Our mission is to build great products that accelerate next-generation computing experiences  the building blocks for the data center, artificial intelligence, PCs, gaming and embedded. Underpinning our mission is the AMD culture. We push the limits of innovation to solve the worlds most important challenges. We strive for execution excellence while being direct, humble, collaborative, and inclusive of diverse perspectives. This is who we are at our best. One Company. One Team.  AMD together we advance_  THE ROLE: The AMD IOHUB Team (part of the NBIO organization) is looking for an ASIC Design Verification Engineer to join our growing team. We develop leading-edge I/O connectivity & virtualization technologies powering data center and machine learning workloads. This team is part of the development for tomorrows client, server, embedded, graphics, and semi-custom chips. You will be involved in all aspects of IP verification starting from helping to create a verification architecture, defining test plans, verification environment development, and verification closure/sign-off.  As a key contributor to the success of AMDs IP, you will be part of a leading team to drive and improve AMDs abilities to deliver the highest quality, industry leading technologies to market. The NBIO Team fosters and encourages continuous technical innovation to showcase successes as well as facilitate continuous career development.  THE PERSON: Strong analytical thinking and problem-solving skills, excellent attention to detail. Possesses good teamwork, communication and interpersonal skills A self-starter and able to independently drive tasks to completion Enjoys working in a fast-paced, multi-project team environment using state of the art tools and technology Possesses a continuous improvement mind-set  KEY RESPONSIBILITIES: Collaborate with IP architects to come up with verification architecture and development plans Participate in verification of complex IP blocks and take end-to-end ownership of key features for all projects Work on test plans, verification environment development, regression, and coverage closure Develop modifying and maintaining VIP, libraries, verification environments, testcases (random and directed) using System Verilog/UVM/SystemC Triaging and Debugging Regressions Analyzing code and functional coverage Deploying industry-leading verification methodologies such as UVM and formal Verification Reproducing functional bugs found in Post-Silicon in dynamic simulation and/or formal verification environments Conducting and participating in code reviews Develop and maintain scripts and tools to continuously improve in engineering infrastructure, methodology and execution  PREFERRED EXPERIENCE: 8+ years of ASIC verification experience Strong understanding of digital design and computer architecture Proficient in Verilog, System Verilog, C/C++, UVM, OOP, and working in Linux and Windows environments ASIC design knowledge and be able to debug System Verilog RTL code using simulation tools Experience in security verification would be an asset  ACADEMIC CREDENTIALS: BS/MS degree in Engineering (Electrical, Electronics, Computer) or Computer Science  LOCATION: Vancouver  #LI-TB2  Benefits offered are described: AMD benefits at a glance.  AMD does not accept unsolicited resumes from headhunters, recruitment agencies, or fee-based recruitment services. AMD and its subsidiaries are equal opportunity, inclusive employers and will consider all applicants without regard to age, ancestry, color, marital status, medical condition, mental or physical disability, national origin, race, religion, political and/or third-party affiliation, sex, pregnancy, sexual orientation, gender identity, military or veteran status, or any other characteristic protected by law. We encourage applications from all qualified candidates and will accommodate applicants needs under the respective laws throughout all stages of the recruitment and selection process.",https://ca.indeed.com/viewjob?jk=c56ff8261a152b3c&from=serp&vjs=3
Software Engineer in Test,Safe Software Inc.,"Surrey, BC","$67,000–$76,000 a year","['Full', '']","   Location: This opportunity has the ability to be remotely based within Canada (except for QC), or onsite/hybrid/remote in the Vancouver, BC Lower Mainland.    Annual Base Salary: $67,000 to $76,000 CAD   Please note that employment is contingent upon the successful completion of reference checks and background checks.     Application Instructions:     Please upload your application files in PDF format only.     Software Development Engineer in Test I   Safe Software is looking for enthusiastic Software Development Engineer in Test (SDET) to join our FME Server Product Development team. As an SDET, you combine your knowledge of software testing and quality assurance with your ability to write and automate test plans to ensure that our FME product platform meets the standard of excellence our customers have known to expect.   About The Team    As a member of our FME Server Development team, youll join a cross-functional team that consists of Software Developers, Technical Team Leads, and Quality Analysts. Together, youll collaborate to ensure quality is consistent in our enterprise data integration product at the onset of the software development life cycle. Our SDETs are embedded directly within each of our Product Development teams, so youll dive right into Agile development meetings and contribute your ideas and feedback from the start.      What Youll Be Doing   As an SDET, you will have the opportunity to:     Write detailed, comprehensive and well-structured test plans and test cases.   Create automated tests or help developing testsuite frameworks.   Test exciting new features in the latest beta software.   Triage testsuite result to identify product defect or update automated tests.   Contribute to feature development meetings with a valuable quality perspective.   Create clear and concise defect reports and enhancement requests.   Provide input on user experience, including performance, to product development.   Set up test environments with leading-edge technology, like AWS, Docker, Kubernetes, ArcGIS Online, etc.   Work as part of the Development team to go through the entire development cycle, using Scrum and/or Kanban methodologies.   Participate in Quality community meetings to share ideas, learn new concepts, discuss problems and brainstorm solutions.   Explore new technical areas: containerization, web services, databases, etc.   Qualifications, Skills, and Competencies   Safers come from a variety of backgrounds with a diversity in skills and knowledge. That said, we find that those who are most successful in this role have experience with the following areas.   Required Skills:     1-2 years of previous experience working on in a testing role or have relevant industry experience   A curiosity for technology - you are excited to experiment with the newest systems and techniques   You are a critical thinker with a curious mind and a love for problem solving   You are a self-motivated and proactive team player with a passion for helping others   Familiarity with scripting languages such as Python and/or Bash   Thoroughness in your approach and a high attention for detail   A degree or diploma in Computer Science or Computer Engineering or related field      Desired Skills / Bonus Points:     Working knowledge and/or previous experience using FME   Experience in an Agile development environment (Scrum and/or Kanban)   Experience with test automation and performance testing   Experience with Squish Web or QT   Understanding of Geographic Information Systems (GIS)   Experience with GIS products (Esri ArcGIS, MapInfo, Intergraph GeoMedia, etc.)   Experience with Cypress   Experience using Business Intelligence tools (Tableau, Qlik, etc.)   Exposure to programming languages (Python, JavaScript, SQL, etc.)   Ability to speak a second language       What You Can Expect   When you choose a career with Safe Software, youre also choosing     Meaningful Work: Make a profound impact across our business, workplace and data integration product.   A Supportive Environment: Feel empowered to share your ideas and implement them with high autonomy and team support.   Social Responsibility: Become a part of a team that finds meaningful ways to give back. Take the day off to volunteer for a cause that matters to you or join our D&I Committee and shape our collective future.   Learning & Career Development: We believe in your continuous learning and growth. Take advantage of an annual learning budget and training programs paid for by Safe.   Flexible Working Hours: Flexible and remote-friendly work arrangements to fit your lifestyle. Work when you want, and how you want to.   Work-Life Balance: There's no place for burnout at Safe. Maintain a healthy balance of your personal and work life without splitting yourself in two. Enjoy 3 weeks of vacation to recharge, plus an additional paid 6 seasonal days off per year.   Health & Wellness: Extended health, dental and counseling benefits from day 1. Thats right, no waiting period.   Shared Success: Share in Safes success with our bi-annual profit sharing and RRSP/TFSA matching program.   An Accessible Commute: Regardless of your commute method, were located close to public transit, and provide complimentary parking and bike storage for our team!   About Safe Software   Safe Software is the creator and developer of FME  the data integration platform with the best support for spatial data worldwide. Over 10,000 organizations around the world use FME in industries like AEC, government, utilities, and transportation to maximize the value of their data.   Founded in 1993, Safe is headquartered in Surrey, BC with over 200 team members and counting. Were always looking for talented individuals with diverse backgrounds who are determined to learn and grow. Are you ready to join the team?   Our Commitment to Diversity and Inclusion   Safe Software is an equal opportunity employer and we truly believe that innovation and strength begin with diversity and inclusion. We welcome all candidates regardless of race, gender identity or expression, sexual orientation, age, ability, disability, national or ethnic origin, political belief, religion, or family status. Should you require accommodations during the recruitment process, please contact hr_dept@safe.com.",https://ca.indeed.com/viewjob?jk=866a524980416b03&from=serp&vjs=3
ASIC Design Verification Engineer,AMD ,"Vancouver, BC",, ,"WHAT YOU DO AT AMD CHANGES EVERYTHING  We care deeply about transforming lives with AMD technology to enrich our industry, our communities, and the world. Our mission is to build great products that accelerate next-generation computing experiences  the building blocks for the data center, artificial intelligence, PCs, gaming and embedded. Underpinning our mission is the AMD culture. We push the limits of innovation to solve the worlds most important challenges. We strive for execution excellence while being direct, humble, collaborative, and inclusive of diverse perspectives. This is who we are at our best. One Company. One Team.  AMD together we advance_  The Role: The AMD IOMMU Team (part of the NBIO organization) is looking for an ASIC Design Verification Engineer to join our growing team. We develop leading-edge I/O virtualization technologies powering data center and machine learning workloads. This team is part of the development for tomorrows client, server, embedded, graphics, and semi-custom chips. You will be involved in all aspects of IP verification starting from helping to create a verification architecture, defining test plans, verification environment development, and verification closure/sign-off.  As a key contributor to the success of AMDs IP, you will be part of a leading team to drive and improve AMDs abilities to deliver the highest quality, industry leading technologies to market. The NBIO Team fosters and encourages continuous technical innovation to showcase successes as well as facilitate continuous career development.  The Person: Strong analytical thinking and problem-solving skills, excellent attention to detail. Possesses good teamwork, communication and interpersonal skills A self-starter and able to independently drive tasks to completion Enjoys working in a fast-paced, multi-project team environment using state of the art tools and technology Possesses a continuous improvement mind-set  Key Responsibilities: Collaborate with IP architects to come up with verification architecture and development plans Participate in verification of complex IP blocks and take end-to-end ownership of key features for all projects Work on test plans, verification environment development, regression, and coverage closure Develop modifying and maintaining VIP, libraries, verification environments, testcases (random and directed) using System Verilog/UVM/SystemC Triaging and Debugging Regressions Analyzing code and functional coverage Deploying industry-leading verification methodologies such as UVM and formal Verification Reproducing functional bugs found in Post-Silicon in dynamic simulation and/or formal verification environments Conducting and participating in code reviews Develop and maintain scripts and tools to continuously improve in engineering infrastructure, methodology and execution  Academic Credentials: BS/MS degree in Engineering (Electrical, Electronics, Computer) or Computer Science.  Preferred Experience: 2+ years of ASIC verification experience Strong understanding of digital design and computer architecture Proficient in Verilog, System Verilog, C/C++, UVM, OOP, and working in Linux and Windows environments ASIC design knowledge and be able to debug System Verilog RTL code using simulation tools Experience in security verification would be an asset.  #LI-CS1  Benefits offered are described: AMD benefits at a glance.  AMD does not accept unsolicited resumes from headhunters, recruitment agencies, or fee-based recruitment services. AMD and its subsidiaries are equal opportunity, inclusive employers and will consider all applicants without regard to age, ancestry, color, marital status, medical condition, mental or physical disability, national origin, race, religion, political and/or third-party affiliation, sex, pregnancy, sexual orientation, gender identity, military or veteran status, or any other characteristic protected by law. We encourage applications from all qualified candidates and will accommodate applicants needs under the respective laws throughout all stages of the recruitment and selection process.",https://ca.indeed.com/viewjob?jk=742235504274faf2&from=serp&vjs=3
Design Verification Engineer,"Advanced Micro Devices, Inc ","Vancouver, BC",, ," Overview:     WHAT YOU DO AT AMD CHANGES EVERYTHING      We care deeply about transforming lives with AMD technology to enrich our industry, our communities, and the world. Our mission is to build great products that accelerate next-generation computing experiences  the building blocks for the data center, artificial intelligence, PCs, gaming and embedded. Underpinning our mission is the AMD culture. We push the limits of innovation to solve the worlds most important challenges. We strive for execution excellence while being direct, humble, collaborative, and inclusive of diverse perspectives. This is who we are at our best. One Company. One Team.      AMD together we advance_  Responsibilities:     THE ROLE:      The AMD IOHUB Team (part of the NBIO organization) is looking for an ASIC Design Verification Engineer to join our growing team. We develop leading-edge I/O connectivity & virtualization technologies powering data center and machine learning workloads. This team is part of the development for tomorrows client, server, embedded, graphics, and semi-custom chips. You will be involved in all aspects of IP verification starting from helping to create a verification architecture, defining test plans, verification environment development, and verification closure/sign-off.         As a key contributor to the success of AMDs IP, you will be part of a leading team to drive and improve AMDs abilities to deliver the highest quality, industry leading technologies to market. The NBIO Team fosters and encourages continuous technical innovation to showcase successes as well as facilitate continuous career development.         THE PERSON:      Strong analytical thinking and problem-solving skills, excellent attention to detail.     Possesses good teamwork, communication and interpersonal skills   A self-starter and able to independently drive tasks to completion   Enjoys working in a fast-paced, multi-project team environment using state of the art tools and technology   Possesses a continuous improvement mind-set         KEY RESPONSIBILITIES:      Collaborate with IP architects to come up with verification architecture and development plans   Participate in verification of complex IP blocks and take end-to-end ownership of key features for all projects   Work on test plans, verification environment development, regression, and coverage closure   Develop modifying and maintaining VIP, libraries, verification environments, testcases (random and directed) using System Verilog/UVM/SystemC   Triaging and Debugging Regressions     Analyzing code and functional coverage   Deploying industry-leading verification methodologies such as UVM and formal Verification   Reproducing functional bugs found in Post-Silicon in dynamic simulation and/or formal verification environments   Conducting and participating in code reviews   Develop and maintain scripts and tools to continuously improve in engineering infrastructure, methodology and execution         PREFERRED EXPERIENCE:      8+ years of ASIC verification experience   Strong understanding of digital design and computer architecture     Proficient in Verilog, System Verilog, C/C++, UVM, OOP, and working in Linux and Windows environments   ASIC design knowledge and be able to debug System Verilog RTL code using simulation tools   Experience in security verification would be an asset         ACADEMIC CREDENTIALS:      BS/MS degree in Engineering (Electrical, Electronics, Computer) or Computer Science         LOCATION: Vancouver       #LI-TB2 Qualifications:     Benefits offered are described: AMD benefits at a glance.      AMD does not accept unsolicited resumes from headhunters, recruitment agencies, or fee-based recruitment services. AMD and its subsidiaries are equal opportunity, inclusive employers and will consider all applicants without regard to age, ancestry, color, marital status, medical condition, mental or physical disability, national origin, race, religion, political and/or third-party affiliation, sex, pregnancy, sexual orientation, gender identity, military or veteran status, or any other characteristic protected by law. We encourage applications from all qualified candidates and will accommodate applicants needs under the respective laws throughout all stages of the recruitment and selection process. ",https://ca.indeed.com/viewjob?jk=2aafc046ffee5f9e&from=serp&vjs=3
Senior Software Engineer - VIDEO - Greater Vancouver area Candidate,W,"Pitt Meadows, BC",, ," At WISI, we have spent almost 100 years focused on implementing the most innovative and reliable technology solutions.    We are looking for a local Senior Software Engineers to join us as we scale up our Engineering team here at WISI, delivering carrier-grade video transcoder products to cable/video operators.    We offer a competitive salary and benefits package and have some awesome perks in our beautiful office space. The company is located in Pitt Meadows, BC a suburb of Metro Vancouver. We are in a gorgeous location near walking and biking trails, away from the hustle and bustle of the city.   We are proud to have been certified as a Great Place To Work after a thorough and independent analysis conducted by the Great Place To Work Institute Canada for the 5th consecutive year.      The Role:   You will join our growing engineering team as a Senior Software Engineer to design and build high-performance video delivery solutions. We are a small passionate team focused on delivering carrier grade software to our customers in an agile fashion.    You are passionate about technology and have worked previously in the video processing industry. You have experience with a variety of programming languages and technologies and arent afraid to try a new one. Your passion for software development keeps you learning and adopting new techniques and trends to improve how you work, not just the code you write.   You will:     Collaborate with other software developers to plan, design, develop, test, and maintain web and embedded applications.   Participate in peer-reviews of solution designs and related code.    Design and implement tools and processes to rapidly iterate and continuously release software.   Mentor and support the growth and development of other team members by sharing your experiences and best practices.   Produce well-organized, optimized, and documented source code.   Develop repeatable scientific test methods and tools for performance and load testing of company products and prototypes and quality assurance initiatives.   Analyze test results to identify issues and opportunities and characterize hardware and software performance to aid in business planning, new product discovery and product improvement.       Required skills:     Bachelor's Degree or equivalent in Computer Science or related discipline    5+ years of professional experience in software development   Experience with Gstreamer Media Framework   Working knowledge of various conditional access/video/audio codec and streaming protocols including MPEG-2-TS, AVC, HEVC, HLS, MPEG-DASH, Dolby Digital   Working knowledge of various video broadcast and transmission standards (ATSC, DVB , NTSC, PAL)   Use the technology stack that includes but not limited to: C/C++, Golang, JavaScript, Shell Scripts, Git, Linux, Docker   Knowledge of OOP design and patterns.    Knowledge of SQL and noSQL databases, including postgres, redis, influxdb, mysql   Understanding of software development best practices and experience with unit testing, using version control systems (Git), and continuous integration.   Experience with Agile methodologies   Passion for quality and writing clean, solid, readable code that scales and performs well       Bonus Skills:     Experience with various embedded processor architectures   Experience in web technologies utilizing microservices and REST       Whats in it for you:     A chance to work on cutting edge technology, with global customers, in a hot industry.   Learning is one of our core values so there are many opportunities for career development through lunch & learns, training, courses etc.   We offer competitive salaries, a comprehensive benefits package including health, dental, and vision coverage, and an Employee and Family Assistance Program to support the wellbeing of you and your family.   Additional health and wellness support through a health & wellness spending account to put your dollars where you need it most.   Flexible, hybrid work environment   Birthday Day off - after all this is YOUR day.   RRSP matching program - we invest in your future.   Paid Volunteer Hours.   Be a part of a team of incredibly talented, driven, fun and supportive teammates.   Contribute to WISIs award-winning Culture. Were a Certified Great Place To Work and on the 2021 list of Best Workplace in Canada.   There's more but we will tell you more when we meet you!     Must be eligible to work in Canada   We are an equal opportunity employer and a very diverse company! We do not discriminate on the basis of race, colour, religion, national origin, sex, gender identity, gender expression, sexual orientation, age, marital status, age, language or disability status.",https://ca.indeed.com/viewjob?jk=85e5388f993528db&from=serp&vjs=3
Marine Electrician,Albion Marine Solutions Ltd ,"Delta, BC",$50–$55 an hour,"['Full', '']","Job DescriptionJob Title: Marine ElectricianDepartment: TechnicalReports To: Head of Technical OperationsMartine Electrician will have responsibility for service field attending vessels in ports.Responsibilities Attend vessels for inspections, commissioning, surveys and troubleshooting of the automation system, electrical equipment, scrubbers, ballast water treatment systems and other machinery. Deliberate with management on the requirements and procedures for project execution. Organize and manage EIA projects toward the fulfillment of a set objective. Provide EIA expertise to produce concept and detail designs for Marine/Ship/offshore projects. Prepare Electrical load balance calculations, SLD, SCC calculations, earthing system calculations, selection of components like transformers, rectifiers, UPS, circuit breakers, battery system, cable selection, cable schedule, cable bulk MTO etc. for Electrical discipline. Prepare for Instrumentation discipline  Instrument list, I/O list, systems schematics, control philosophy, control narratives, control block diagrams, cause and effect table, data sheets etc. Interface with other discipline engineers, clients, equipment suppliers and class authorities.Qualifications Degree in Electrical/Instrumentation/Automation Engineering or equivalent. Professional Engineer, Red Seal or Transport Canada Certification Good knowledge of the shipboard safe working practices. Good practical experience with Cause and effect diagrams, control/safety narrative, logic diagrams, I/O assignment/mapping, an instrument loop and wiring diagrams, specification and configuration for DCS/SIS/BMS/MMS/PLC/SCADA . 5 + years experience in Electrical and Instrumentation/Controls Design within Marine/offshore oil/gas industries. Knowledge of Instrumentation and Controls design using standard software is an advantage. Knowledge of Classification society rules, codes and standards and international marine rules and regulations; Marine detail design experience considered an advantage. Availability to travel within the country and abroad on short notice.Job Type: Full-timeSalary: $50.00-$55.00 per hourBenefits: Dental care Extended health care Flexible schedule Life insurance On-site parking Paid time off Profit sharing Vision careSchedule: 10 hour shiftSupplemental pay types: Bonus payAbility to commute/relocate: Delta, BC: reliably commute or plan to relocate before starting work (required)Experience: Journeyman Electrician: 3 years (required)Licence/Certification: Drivers Licence (preferred)Work Location: Hybrid remote in Delta, BC",https://ca.indeed.com/viewjob?jk=bc367c9193032261&q=project&l=Coquitlam%2C+BC&from=web&advn=2279083321167825&adid=409337974&ad=-6NYlbfkN0AuAjYKnBHsdkcMxrD7ZJITXxV72vImVt5xOyKRJQecNG9hmx9bcV6yFNRW3BtplLj1q954LR7T4zZMYV5IEFW57bCZ_ZNTAZZ5Wv3KhXA5iYOYIadYLpdrHJ_jPk-GFP1tY3tohG2YN06C9lPZL_dOsET_YdSK5mblFBp7fV8NEZV_iJzwGt206Zrg6TK9_XZV9mIpAIUYiws9Hi-Oz2eZYLXUkD7bo0-Oj88jo5_dgu83jSbylHwMt44h96ziV6ZbX669FPQCXwgXALIhAML5HgDdIOMt8gn6eqNiLHHMuFRXAcwaO6i1_hMaDZv53pTLNducynWB_svmAbK0cErVdVlCW7nAb6wuuPpDp6PhLWbLc4yQUPNlifFjB6QvPpO1aS_ZqQMGSExmmKgjfMGac_0agwIaUwA%3D&pub=4a1b367933fd867b19b072952f68dceb&xkcb=SoAM-_M3RI7ReLxjw50LbzkdCdPP&vjs=3
